title,topic_idx
"김은혜 ""경기도 시·군별 24시간 어린이병원 운영할 것""",6
"민형배 ""한동훈 인사청문회 거부 검토..정치보복 의도 보여""",6
"김인철 사회부총리 후보자, 강남 아파트 등 33억원 재산신고",6
[단독] 정호영 '4년 적자'에도 17·18년 국립병원 중 업무추진비 최다 사용,6
"정호영 후보자 ""사퇴 없다""..내일 기자회견 열고 의혹 해명",6
"평양 80층 아파트 입주에 탈북자들 ""가난한 사람들이 사는 곳인데""",6
영광 방문한 인수위 지역균형발전특위,6
노웅래-성일종..'BTS 병역 특례' 눈덩이는 정치권이 굴렸다,6
"이창양 산업부 장관 후보자, 일 전범기업 대주주 회사서 6년간 1억 이상 받아",6
"민주당 전북도당 공관위, 예비후보 면접..25일쯤 공천 마무리",6
"정호영 후보자 내일 오후 2시 기자회견..""의혹 직접 설명""",6
지인 동원해 자녀 구술평가 만점?..'눈덩이'처럼 커지는 정호영 의혹,6
"[공덕포차] 어디서도 듣지 못할 한동훈 지명의 숨은 이유와 ""윤석열 뒤의 '검찰대부 삼인방'""",6
[포토]주말 현장 행보로 이석영광장 찾은 조광한 남양주시장,6
"김인철 사회부총리 후보자, '강남 1주택' 등 33억 신고",6
'계곡 살인' 이은해·조현수 검거..고양경찰서로 압송,6
"국민연금 이사장, 임기 남기고 사의..기관장 사퇴 이어지나",6
"정호영 후보자, 내일 기자회견 열어 의혹 직접 해명",6
"반유신의 의병, 정의구현사제단 출범 [김삼웅의 인물열전 / 정의의 구도자 함세웅 신부 평전]",6
"김용진 국민연금공단 이사장, 임기 1년4개월 남기고 '사의표명'",6
"박지현 '검수완박 자성'에..박영선 ""용기 있는 발언 응원""",6
"'정호영 지인' 교수들, 딸 의대 편입때 구술평가 만점 줬다",6
민주당 도의원 노형갑 경선 재심사 결정,6
'文의 조국' '尹의 정호영',6
"김용진 국민연금 이사장, 임기 1년 4개월 남기고 사표",6
'계곡 살인' 이은해 검거,6
"정호영 ""복지부 장관 후보 사퇴하고 대구로? 그건 오보""",6
"김은혜 ""대한민국, 더 안전한 사회로 승화시켜야""..세월호 추모",6
[여랑야랑]'검수완박' 숨은 의도 / 한동훈 청문회 '전운',6
"기자간담회 하루 미룬 안철수..국힘·국당, 이르면 17일 합당 선언",6
"여야, 세월호 8주기 추모 ""유가족에 깊은 위로..재발방지 다짐""(종합)",6
"정호영 ""엉뚱한 얘기로 사퇴 바라는 세력 궁금""..내일 기자회견(종합)",6
